"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1990","TC_002 - Verify products and price $14.90 count","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","1332","TC_014 - App stability on reload","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","1161","TC_005 - Verify Multiple products added","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","2044","TC_001 - Verify products and price $10.90 count","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","236","seed","chromium","2026-07-10","passed","2026-07-10","Test group","seed.spec.ts","",""
"","3213","TC_008 - Validate product prices","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","3455","TC_010 - Verify Subtotal validation","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","1595","TC_003 - Verify only valid price products selected","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","1243","TC_004 - Verify Add matching products to cart","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","4253","TC_015 - Complete shopping flow","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","1158","TC_013 - Empty cart validation","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","3060","TC_007 - Validate product names","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","3834","TC_012 - Decrease quantity","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","3211","TC_009 - Verify quantity > 0","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
"","3681","TC_011 - Increase quantity","chromium","2026-07-10","passed","2026-07-10","Product Cart Validation Test Suite","Shopping_Cart\shopping_cart.spec.ts","",""
